total_steps,route_completion_normal,crash_rate_normal,route_completion_adv,crash_rate_adv
25151,0.4219395960722981,0.24,0.38345711657267784,0.41
50316,0.4101887312519853,0.34,0.38304820314309235,0.48
75339,0.5366980421578751,0.29,0.5121425504713384,0.43
100432,0.5907430309268239,0.3,0.5165630530382213,0.43
125433,0.5621733250202463,0.29,0.4881205217303822,0.52
150483,0.6070547351939587,0.22,0.547741916490756,0.41
175494,0.5850768789597189,0.24,0.5406840873868178,0.34
200535,0.6160357436031929,0.16,0.5405268036662686,0.3
225672,0.6131660870814936,0.2,0.5456102533413523,0.44
250731,0.6300445216280318,0.26,0.5870560044018601,0.4
275776,0.642175276783477,0.18,0.5756538243343927,0.36
300796,0.6810310922903342,0.13,0.6072706308038583,0.38
325808,0.6549284126724207,0.18,0.6024439426379206,0.38
350899,0.6968939759691927,0.17,0.6016073251803674,0.32
375970,0.7083805083496842,0.14,0.6294941571697107,0.38
401004,0.6904346010234533,0.17,0.653939684454572,0.35
426073,0.6915730315107309,0.15,0.6538037945265809,0.32
451094,0.7577374347746567,0.13,0.6547426008699699,0.35
476151,0.7071007872112867,0.15,0.6617858588351017,0.28
501179,0.7746906084111383,0.13,0.6835299563583952,0.33
526205,0.6923894169230559,0.15,0.7013959158297974,0.22
551238,0.7397284083521225,0.13,0.6869135002552298,0.24
576451,0.7513742321757124,0.14,0.7142622355304966,0.28
601464,0.7256171106904707,0.16,0.6619020136875104,0.29
626575,0.7753875913079245,0.07,0.7241271775024514,0.29
651593,0.75885990620675,0.12,0.7232353688270219,0.25
676635,0.7373100817918654,0.13,0.6500856202149552,0.29
701666,0.7578140105927299,0.08,0.7249379587158293,0.32
726694,0.7607677741761926,0.12,0.6864064574926124,0.31
751867,0.7956130028653603,0.14,0.7402154992629002,0.27
776925,0.7816180380595221,0.11,0.7108602515054325,0.35
802013,0.7494942573035366,0.11,0.7116231929479934,0.3
827020,0.7672405498517901,0.15,0.7230614867809328,0.32
852030,0.793098577100209,0.12,0.7025630664088132,0.32
877050,0.7853970319562156,0.12,0.6976932309776731,0.3
902055,0.7961903057435379,0.13,0.7133748690916089,0.27
927079,0.7708118029585823,0.08,0.7102712866232932,0.26
952083,0.7774575549343575,0.1,0.6803667531814395,0.3
977109,0.7926914761441722,0.12,0.7439589024882948,0.24
