total_steps,route_completion_normal,crash_rate_normal,route_completion_adv,crash_rate_adv
25057,0.377942428885395,0.32,0.34981107338253653,0.5
50271,0.4703253739402943,0.29,0.433205736196852,0.45
75326,0.5266070891252557,0.21,0.47862470848237515,0.38
100382,0.6266380943253845,0.28,0.5789311895876745,0.43
125395,0.6477370295944606,0.3,0.5807015325198058,0.45
150497,0.6815363202172732,0.31,0.6044600951561163,0.49
175558,0.6588365860148574,0.3,0.5785723759746051,0.49
200601,0.6849467690472024,0.26,0.651378152285521,0.42
225788,0.6553562497306181,0.26,0.5908996657405649,0.46
250797,0.7356277327905179,0.23,0.6362682437877762,0.47
275846,0.7106007993611153,0.25,0.648252190304699,0.42
300863,0.7001407798225624,0.25,0.6381167313154318,0.48
325913,0.6932733538091764,0.27,0.6132103238087426,0.44
350967,0.7026312029544048,0.22,0.6349938871123364,0.42
376014,0.7209673617794096,0.2,0.6335740676473047,0.41
401070,0.6930635225250691,0.22,0.5963545688581595,0.44
426085,0.741002682587677,0.27,0.6423018918080905,0.51
451112,0.7192379228436578,0.23,0.6453402011682335,0.4
476119,0.7235013911122324,0.24,0.6383927098187204,0.45
501214,0.7328643842733062,0.21,0.6663129572834771,0.46
526235,0.7277641295000873,0.21,0.6471358456273125,0.37
551263,0.7561216543909249,0.21,0.672783507180461,0.37
576289,0.7283566851664947,0.2,0.6643297526997661,0.42
601320,0.7431725702669345,0.22,0.6559313182735689,0.44
626342,0.7745743458015103,0.16,0.6743434642042939,0.41
651404,0.7639542764146826,0.21,0.6285220160063507,0.47
676425,0.7458629367439513,0.16,0.6949289682076006,0.37
701427,0.7803433139354585,0.21,0.6774263316856474,0.49
726478,0.7864349815541527,0.17,0.7021222227004169,0.37
751547,0.7682010191080764,0.2,0.6415435692430311,0.45
776595,0.7730579774451103,0.21,0.6839841933253168,0.4
801665,0.7306841458848389,0.22,0.6377302103281592,0.45
826668,0.7880883102612024,0.15,0.7137111013973589,0.4
851706,0.746523735810954,0.19,0.6795240581908014,0.38
876786,0.7821971890199018,0.19,0.7202123630160873,0.41
901843,0.767146356636603,0.24,0.7164654241961685,0.37
926894,0.8050185252942391,0.24,0.7145624851447178,0.46
951911,0.785873640331642,0.24,0.7178281555667911,0.45
976951,0.7940860062076301,0.24,0.7060378900351545,0.42
